Pathway,Importance
Focal adhesion,0.0011029712785418806
Dilated cardiomyopathy,0.0010952567523528688
Prostate cancer,0.0010943964959279576
Proteoglycans in cancer,0.001079292725098789
Various types of N-glycan biosynthesis,0.0010641367290877592
GnRH signaling pathway,0.0010598620188830862
Notch signaling pathway,0.0010509357525134216
Long-term depression,0.0010426786635538978
Cardiac muscle contraction,0.0010239792193867748
Prolactin signaling pathway,0.001014466790353638
Glutamatergic synapse,0.0010106344825072267
Bacterial invasion of epithelial cells,0.000992004676080609
Ubiquinone and other terpenoid-quinone biosynthesis,0.0009857377389234949
Asthma,0.0009582760639166022
Pancreatic cancer,0.0009562868253344825
Melanogenesis,0.0009548534375246881
Neurotrophin signaling pathway,0.0009516089060368359
Metabolism of xenobiotics by cytochrome P450,0.0009407739035125138
Gastric cancer,0.0009195096567367149
Synthesis and degradation of ketone bodies,0.0009117817053957825
Olfactory transduction,0.0008739369872153425
HIF-1 signaling pathway,0.0008724122592093686
Hippo signaling pathway,0.0008438946576906134
Glycerolipid metabolism,0.0008145245731936489
Cholesterol metabolism,0.0008073283310581951
FoxO signaling pathway,0.0008034538939720738
Serotonergic synapse,0.0007744155374573073
Basal cell carcinoma,0.0007645487685535936
Vitamin digestion and absorption,0.0007593361165558099
Progesterone-mediated oocyte maturation,0.0007418252086064529
Ribosome biogenesis in eukaryotes,0.0007414271082461188
Glioma,0.0007320723639653636
Non-small cell lung cancer,0.0007177616171308856
Salivary secretion,0.0007151987206635458
Ether lipid metabolism,0.0007101003268157269
Hepatocellular carcinoma,0.0006848246102352637
Amyotrophic lateral sclerosis,0.0006769026446940615
"Growth hormone synthesis, secretion and action",0.0006767844039812392
Ovarian steroidogenesis,0.000668767842332509
Long-term potentiation,0.000668328931608293
Spinocerebellar ataxia,0.0006656747930322065
Type II diabetes mellitus,0.0006637555758370627
MicroRNAs in cancer,0.0006330790179259634
Fat digestion and absorption,0.0006248217987214161
Colorectal cancer,0.0006213366556595459
TGF-beta signaling pathway,0.0006204003702153634
Complement and coagulation cascades,0.0006203524698301258
Epithelial cell signaling in Helicobacter pylori infection,0.0006025109498688128
Riboflavin metabolism,0.0005981939961648966
RNA transport,0.0005935204058622718
Lysine degradation,0.0005901472960645173
Nucleotide excision repair,0.0005875711119323594
Synaptic vesicle cycle,0.0005845893901384533
Morphine addiction,0.0005806307719451357
Collecting duct acid secretion,0.0005764895839340941
Spliceosome,0.000576326389725852
Human papillomavirus infection,0.0005713522085655611
One carbon pool by folate,0.0005661297041922405
Peroxisome,0.0005600198903907994
Pancreatic secretion,0.0005494041870577526
Endometrial cancer,0.0005492095010025298
Renal cell carcinoma,0.0005344887613296245
Nicotine addiction,0.0005266787209985615
Cortisol synthesis and secretion,0.000516412590945568
Steroid hormone biosynthesis,0.0005144782236761637
Glycerophospholipid metabolism,0.000507321274855793
Oxidative phosphorylation,0.0005035748179897206
IL-17 signaling pathway,0.0005035036326975294
Porphyrin and chlorophyll metabolism,0.0004967862139287425
Biosynthesis of unsaturated fatty acids,0.000490207910429805
Ascorbate and aldarate metabolism,0.0004866798265172136
Mitophagy,0.0004851741081154857
Non-homologous end-joining,0.0004845970659316782
Carbohydrate digestion and absorption,0.0004827761211615678
Amino sugar and nucleotide sugar metabolism,0.0004815319733500799
mTOR signaling pathway,0.00047900404646809657
Endocytosis,0.00047052301847557327
Ferroptosis,0.00046775367901717913
Axon guidance,0.00046664417294217593
Sphingolipid signaling pathway,0.0004632291533777198
p53 signaling pathway,0.00044778103313112703
Inositol phosphate metabolism,0.00044711482969844886
Caffeine metabolism,0.00044360234241481663
"Alanine, aspartate and glutamate metabolism",0.00044329346650791535
Chronic myeloid leukemia,0.0004312364605444358
GnRH secretion,0.0004305118129760797
Citrate cycle (TCA cycle),0.0004265538415783306
Tryptophan metabolism,0.0004202636971313386
N-Glycan biosynthesis,0.0004121435493402728
Ribosome,0.00041148680563991765
Insulin secretion,0.00040850627395631954
Huntington disease,0.0004082227907587423
Cholinergic synapse,0.00040814198940186376
Hedgehog signaling pathway,0.0004062271444092213
Galactose metabolism,0.0004014142156728304
Renin-angiotensin system,0.0003989599726996099
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.0003942302441146475
Cytosolic DNA-sensing pathway,0.00038788526515958367
Phosphonate and phosphinate metabolism,0.0003849116922049184
Fatty acid elongation,0.0003807446396062121
Legionellosis,0.0003798314309746024
Other glycan degradation,0.00037004794758009905
Inflammatory mediator regulation of TRP channels,0.00036490126010768793
Signaling pathways regulating pluripotency of stem cells,0.00036431690679477604
ECM-receptor interaction,0.00036242354849151274
Nicotinate and nicotinamide metabolism,0.0003551251950210584
Pantothenate and CoA biosynthesis,0.00035047113862592653
GABAergic synapse,0.0003500265787030466
Alcoholism,0.0003476784968269995
VEGF signaling pathway,0.00034614878752447115
Phosphatidylinositol signaling system,0.0003436594393467374
Protein digestion and absorption,0.000336362501833056
Cysteine and methionine metabolism,0.0003354385454681031
Glycosaminoglycan biosynthesis,0.0003329462481942233
Autophagy,0.00033172899230784017
Arginine biosynthesis,0.0003303530743965792
Pathways of neurodegeneration,0.00032849828558574005
Folate biosynthesis,0.00032541459090743393
Vibrio cholerae infection,0.00032311091349097816
Fructose and mannose metabolism,0.00032173097835500785
Prion disease,0.0003205113061339059
Tight junction,0.00032025814647661656
Central carbon metabolism in cancer,0.0003048434652296713
Arginine and proline metabolism,0.00030338322769821006
Glycosphingolipid biosynthesis,0.0002899395036325549
Selenocompound metabolism,0.00028289198375137893
Retrograde endocannabinoid signaling,0.0002763826021217451
Mannose type O-glycan biosynthesis,0.00027582790476195077
Thiamine metabolism,0.00027014608352817827
Endocrine and other factor-regulated calcium reabsorption,0.0002576656639628901
Mucin type O-glycan biosynthesis,0.00025515475605419847
Hypertrophic cardiomyopathy,0.0002523656210084457
Basal transcription factors,0.000252200985648085
Phototransduction,0.00024999473095386186
Other types of O-glycan biosynthesis,0.0002499926960432872
Necroptosis,0.00024983714625513895
ABC transporters,0.00024242565164768508
Hepatitis C,0.00023477330562365876
"Glycine, serine and threonine metabolism",0.00023330849280246975
Cellular senescence,0.00022524101950314519
Pentose phosphate pathway,0.00022392601128245717
Linoleic acid metabolism,0.00021132298961463246
Lysosome,0.00021118309479214303
Parkinson disease,0.00021044495126156776
Starch and sucrose metabolism,0.00020768886490606816
Herpes simplex virus 1 infection,0.0002074135710187401
Steroid biosynthesis,0.0002039878788768492
Thermogenesis,0.0002003465078233109
Glycosaminoglycan degradation,0.0002003316535073675
Sulfur metabolism,0.0001969476903857208
Glutathione metabolism,0.0001891452697503046
Alzheimer disease,0.00018632872443112716
Glycolysis / Gluconeogenesis,0.0001848159788657797
D-Glutamine and D-glutamate metabolism,0.00018440228359971287
Vasopressin-regulated water reabsorption,0.00018333326471077515
Cushing syndrome,0.00017643366212349547
Primary bile acid biosynthesis,0.0001737448287048954
Protein processing in endoplasmic reticulum,0.0001735186895572006
Estrogen signaling pathway,0.0001716502926471816
Arrhythmogenic right ventricular cardiomyopathy,0.00016798422271668663
Glyoxylate and dicarboxylate metabolism,0.00016697709759787196
Maturity onset diabetes of the young,0.00015378735802088045
"Neomycin, kanamycin and gentamicin biosynthesis",0.00015327403456682497
Neuroactive ligand-receptor interaction,0.00015224836676688158
Vitamin B6 metabolism,0.00014804360082726133
RNA degradation,0.0001423065490453438
Terpenoid backbone biosynthesis,0.00013743363690348878
SNARE interactions in vesicular transport,0.00013614975162747
Taste transduction,0.00013343316382734792
Protein export,0.00013187248795895178
Sphingolipid metabolism,0.00012751856030872996
alpha-Linolenic acid metabolism,0.00012670690671617144
Diabetic cardiomyopathy,0.00012649553819400373
Thyroid cancer,9.986992188027751e-05
Sulfur relay system,9.071990164065649e-05
Purine metabolism,8.399504898249518e-05
Pentose and glucuronate interconversions,7.867964639446569e-05
mRNA surveillance pathway,7.472036404366299e-05
Non-alcoholic fatty liver disease,5.6527460155134004e-05
Ubiquitin mediated proteolysis,4.615371204340686e-05
